feature,n,mesa_correlation,ukb_correlation
lvm,4771,0.5732499404024755,0.7879071663638112
lvedv,4771,0.5108855409695523,0.7154636201492288
lvesv,4770,0.5046476952222767,0.7094218769211078
lavmin,5663,0.4149136672448271,0.5584111639909922
lavmax,5702,0.31681736108434494,0.5268042543538088
laef,5662,0.34887845639607334,0.4499979190864285
lvef,4770,0.30708556142286614,0.4941544089401804
