cohort,outcome,Risk Score,Refit,ECG-FM,ECGFounder,DeepECG-SSL,DeepECG-SL,Ours ECG,Ours ECG+MRI,Ours ECG+RS,Ours ECG+MRI+RS
UKB,af5,0.7898,0.7886,0.7573,0.739,0.7336,0.6709,0.7693,0.816,0.8213,0.8355
UKB,hf5,0.7664,0.7664,0.7969,0.7015,0.7275,0.7364,0.817,0.8296,0.8242,0.8354
CHS,af5,0.6993,0.6915,0.6767,0.5959,0.57,0.6122,0.6794,,0.7179,
CHS,hf5,0.7509,0.734,0.6546,0.6673,0.6144,0.6667,0.7196,,0.7923,
MESA,af5,0.7706,0.7605,0.6853,0.6048,0.6255,0.6095,0.709,,0.7804,
MESA,hf5,0.7886,0.7626,0.6614,0.6666,0.6831,0.6658,0.7516,,0.8259,
